year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type,month_order
2018,مايو,الدمام,حي/1048/ ش د,1055000,2871.08,1,معتمدة,,,5
2018,يناير,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,1
2018,مارس,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,3
2018,مايو,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,5
2018,يونيو,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/1093 ش د,2090155,2396.5,8,معتمدة,,,7
2018,اوغسطس,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,8
2018,سبتمبر,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,9
2018,اكتوبر,الدمام,حي/1093 ش د,13613265,15608.5,47,معتمدة,,,10
2018,ديسمبر,الدمام,حي/1093 ش د,0,0.0,0,معتمدة,,,12
2018,يونيو,الدمام,حي/1145/ ش د,0,0.0,0,معتمدة,,,6
2018,مارس,الدمام,حي/1168/ ش د,4000000,6000.0,3,معتمدة,,,3
2018,يونيو,الدمام,حي/1168/ ش د,10672400,27908.8,6,معتمدة,,,6
2018,اكتوبر,الدمام,حي/1168/ ش د,600000,8994.5,2,معتمدة,,,10
2018,مارس,الدمام,حي/125/ 1,0,0.0,0,معتمدة,,,3
2018,يناير,الدمام,حي/2/ 183,10400000,8754.41,1,معتمدة,,,1
2018,سبتمبر,الدمام,حي/2/ 183,0,0.0,0,معتمدة,,,9
2018,فبراير,الدمام,حي/211/ 1,1000000,600.0,1,معتمدة,,,2
2018,ابريل,الدمام,حي/211/ 1,0,0.0,0,معتمدة,,,4
2018,يوليو,الدمام,حي/211/ 1,0,0.0,0,معتمدة,,,7
2018,مارس,الدمام,حي/245/ 1,0,0.0,0,معتمدة,,,3
2018,اكتوبر,الدمام,حي/245/ 1,460000,184.68,1,معتمدة,,,10
2018,نوفمبر,الدمام,حي/245/ 1,389180,188.91,1,معتمدة,,,11
2018,فبراير,الدمام,حي/249/ 1,0,0.0,0,معتمدة,,,2
2018,مارس,الدمام,حي/249/ 1,0,0.0,0,معتمدة,,,3
2018,ابريل,الدمام,حي/249/ 1,590000,424.5,1,معتمدة,,,4
2018,يونيو,الدمام,حي/249/ 1,0,0.0,0,معتمدة,,,6
2018,يوليو,الدمام,حي/249/ 1,0,0.0,0,معتمدة,,,7
2018,اوغسطس,الدمام,حي/249/ 1,890000,424.5,1,معتمدة,,,8
2018,سبتمبر,الدمام,حي/249/ 1,1300000,500.0,1,معتمدة,,,9
2018,اكتوبر,الدمام,حي/249/ 1,1020000,424.5,1,معتمدة,,,10
