year,month,city,district,price_riyals,area_m2,no_deals,status,realstate_cls,realstate_type
2018,ابريل,مكة المكرمة,حي/الأمير محمد بطحاء قريش النموذجى المعدل,1710000,479.73,3,معتمدة,,
2018,مايو,مكة المكرمة,حي/الاباء والميسوره,600000,500.0,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/الاباء والميسوره,1143972,500.0,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/الاسكان العام بالرصيفة,11757818,5775.87,15,معتمدة,,
2018,فبراير,مكة المكرمة,حي/الاسكان العام بالرصيفة,14953544,6245.0,17,معتمدة,,
2018,مارس,مكة المكرمة,حي/الاسكان العام بالرصيفة,48116447,18907.746799999997,49,معتمدة,,
2018,ابريل,مكة المكرمة,حي/الاسكان العام بالرصيفة,9390000,4052.741,12,معتمدة,,
2018,مايو,مكة المكرمة,حي/الاسكان العام بالرصيفة,6200000,3400.0,9,معتمدة,,
2018,يونيو,مكة المكرمة,حي/الاسكان العام بالرصيفة,2300000,1200.0,4,معتمدة,,
2018,يوليو,مكة المكرمة,حي/الاسكان العام بالرصيفة,7756000,4800.0,12,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/الاسكان العام بالرصيفة,2560000,2000.0,5,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/الاسكان العام بالرصيفة,6402500,3200.0,8,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/الاسكان العام بالرصيفة,3700000,3211.67,8,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/الاسكان العام بالرصيفة,11550725,4800.0,12,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/الاسكان العام بالرصيفة,3864931,3200.0,8,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/الاسكان العام بالرصيفه,1450000,400.0,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/الاسكان العام بمكة حى الملك فهد,1100000,400.0,1,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/الاسكان العام حى الملك فهد,1629750,400.0,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/الامير احمد بالرصيفة,1000000,744.0,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/الامير احمد بكدى,20000,100.0,1,معتمدة,,
2018,فبراير,مكة المكرمة,حي/الامير احمد بكدى,1650000,600.0,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/الامير احمد بكدى,2300000,712.5,1,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/الامير احمد بكدى,10000000,500.0,1,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/الامير احمد بكدى,8500000,835.71,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/الامير احمد بكدى,470000,125.75,1,معتمدة,,
2018,ابريل,مكة المكرمة,حي/الامير احمد بن عبدالعزيز بكدى المسفله,250072,594.0,1,معتمدة,,
2018,مايو,مكة المكرمة,حي/الامير مشعل بن عبدالعزيز خلف المدرسة,26363757,360.64,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/البحيرات,2100000,7934.87,2,معتمدة,,
2018,فبراير,مكة المكرمة,حي/البحيرات,1436111,727.06,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/البحيرات,1070000,730.47,2,معتمدة,,
2018,ابريل,مكة المكرمة,حي/البحيرات,700000,671.23,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/البحيرات,1310000,1453.23,2,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/البحيرات,405491,711.48,1,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/البحيرات,2290000,2018.5,3,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/البحيرات على يسار الذاهب الى وادى فاطمة,2500000,697.65,1,معتمدة,,
2018,يونيو,مكة المكرمة,حي/البدر المعدل بكدى رقم 2,90000,132.96,1,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/البدر المعدل بكدى رقم 2,300000,132.96,1,معتمدة,,
2018,فبراير,مكة المكرمة,حي/البديوى طريق الطائف القديم يمين الذاهب الى الطائف,1200000,825.0,1,معتمدة,,
2018,فبراير,مكة المكرمة,حي/البوابة رقم 3,750000,693.0,1,معتمدة,,
2018,مارس,مكة المكرمة,حي/البوابة رقم 3,500000,1093.0,2,معتمدة,,
2018,ابريل,مكة المكرمة,حي/البوابة رقم 3,525000,693.0,1,معتمدة,,
2018,اوغسطس,مكة المكرمة,حي/البوابة رقم 3,700000,630.0,1,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/البوابة رقم 3,685000,650.0,1,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/البوابة رقم 3,1332000,1280.0,2,معتمدة,,
2018,نوفمبر,مكة المكرمة,حي/البوابة رقم 3,1440000,1218.75,2,معتمدة,,
2018,مايو,مكة المكرمة,حي/البوابة رقم 6,1500000,274.39,1,معتمدة,,
2018,يناير,مكة المكرمة,حي/البوابة رقم 8,1000000,618.84,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/البوابة رقم 8,3710000,712.5,3,معتمدة,,
2018,مايو,مكة المكرمة,حي/البوابة رقم واحد التخصصى المعتمد,400000,323.0,1,معتمدة,,
2018,يوليو,مكة المكرمة,حي/البوابه رقم 7,1000000,643.68,1,معتمدة,,
2018,سبتمبر,مكة المكرمة,حي/البوابه رقم 7,4200000,2497.12,4,معتمدة,,
2018,اكتوبر,مكة المكرمة,حي/البوابه رقم 7,2050000,1177.92,2,معتمدة,,
2018,ديسمبر,مكة المكرمة,حي/البوابه رقم 7,2375000,1221.92,2,معتمدة,,
2018,يناير,مكة المكرمة,حي/البوابه رقم 8,1000000,655.44,1,معتمدة,,
